Nombre de equipo, destino de directiva, subcategoría, GUID de subcategoría, configuración de inclusión, configuración de exclusión, valor de configuración
AIT-MPENA,Sistema,Otros eventos de cambio de directivas,{0CCE9234-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Cambio de la directiva de autorización,{0CCE9231-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Cambio de la directiva del nivel de reglas de MPSSVC,{0CCE9232-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Administración de grupos de distribución,{0CCE9238-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Administración de grupos de aplicaciones,{0CCE9239-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Otros eventos de administración de cuentas,{0CCE923A-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Administración de cuentas de usuario,{0CCE9235-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Administración de cuentas de equipo,{0CCE9236-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Administración de grupos de seguridad,{0CCE9237-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Cambios de servicio de directorio,{0CCE923C-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Replicación de servicio de directorio,{0CCE923D-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Replicación de servicio de directorio detallada,{0CCE923E-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Acceso del servicio de directorio,{0CCE923B-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Validación de credenciales,{0CCE923F-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Operaciones de vales de servicio Kerberos,{0CCE9240-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Servicio de autenticación Kerberos,{0CCE9242-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,Sistema,Otros eventos de inicio de sesión de cuentas,{0CCE9241-69AE-11D9-BED3-505054503030},Sin auditoría,,0
AIT-MPENA,,Opción:CrashOnAuditFail,,Deshabilitado,,0
AIT-MPENA,,Opción:FullPrivilegeAuditing,,Deshabilitado,,0
AIT-MPENA,,Opción:AuditBaseObjects,,Deshabilitado,,0
AIT-MPENA,,Opción:AuditBaseDirectories,,Deshabilitado,,0
AIT-MPENA,,FileGlobalSacl,,,,
AIT-MPENA,,RegistryGlobalSacl,,,,
